big_text_cleaned,len
street,6
ayyapa,6
nagar,5
puram,5
cross,5
kaggadasapura,13
kiran,5
apartment,9
corner,6
lakshmi,7
nilayam,7
marwah,6
apartments,10
bodige,6
nivas,5
periyar,7
salai,5
saravana,8
nagarold,8
perungalathur,13
mihir,5
housing,7
society,7
block,5
nearby,6
public,6
school,6
juniper,7
block,5
greenage,8
salapuria,9
sattva,6
jaynagar,8
bblock,6
diamond,7
district,8
airport,7
mirza,5
streetnavodaya,14
colony,6
building,8
shanders,8
vista,5
gesture,7
vista,5
brindavan,9
gardens,7
blockb,6
behind,6
lulus,5
bakery,6
block,5
raghukul,8
society,7
clarion,7
legend,6
hiranandani,11
meadows,7
dharma,6
residency,9
kamathenu,9
blocka,6
kamathenu,9
heaven,6
number,6
shalimar,8
marina,6
enclave,7
colony,6
vihar,5
tower,5
prestige,8
fields,6
shyam,5
appartment,10
street,6
pranav,6
antilia,7
bachupally,10
ganga,5
apartment,9
block,5
church,6
amritpurieast,13
kailash,7
galaxy,6
homes,5
guddadahalli,12
hebbal,6
nagar,5
bangalore,9
kuche,5
laxmi,5
industrial,10
estate,6
platinum,8
glory,5
premal,6
vengalrao,9
nagar,5
residency,9
pioneer,7
schoolbmc,9
office,6
priyanka,8
homes,5
kalpataru,9
residences,10
block,5
floor,5
blocksri,8
sneha,5
lakeview,8
apartments,10
house,5
tower,5
classic,7
residency,9
block,5
grand,5
deeps,5
kailash,7
kripa,5
tower,5
crescent,8
shrushti,8
greenfeilds,11
society,7
gaddiannaram,12
colony,6
niravana,8
speaking,8
class,5
tagore,6
garden,6
building,8
sobha,5
silicon,7
oasis,5
parasvnath,10
greenville,10
sector,6
sohna,5
block,5
paryatan,8
vihar,5
regal,5
apartments,10
first,5
floor,5
silver,6
wingb,5
mantri,6
lithos,6
second,6
floor,5
botanika,8
caladia,7
towers,6
vashupdha,9
residency,9
srimalli,8
residencyhig,12
marina,6
enclave,7
ewing,5
ashar,5
ashar,5
cross,5
kempstone,9
tower,5
omaxe,5
number,6
sethi,5
royal,5
block,5
shalimar,8
akash,5
kiran,5
society,7
tower,5
celebritys,10
vedadri,7
apartment,9
varun,5
garden,6
manpada,7
thane,5
lawkim,6
company,7
building,8
tower,5
floor,5
rrrrx,5
swami,5
vivekananda,11
nagar,5
ground,6
floor,5
panama,6
tower,5
supertech,9
village,7
narayan,7
residency,9
khand,5
indirapuram,11
ghaziabad,9
eldeco,6
appartment,10
deccan,6
tualaja,7
bhavani,7
nagar,5
kharadi,7
giridhari,9
kamala,6
narayana,8
poonam,6
avenue,6
complex,7
tower,5
golden,6
panorama,8
adarsh,6
retreat,7
padmaraonagar,13
fhqxxf,6
saket,5
bhairav,7
darshan,7
mantri,6
residency,9
purva,5
sunflower,9
nagar,5
chennai,7
kambar,6
nagar,5
kailash,7
ramasamy,8
street,6
pulianthope,11
vijayashree,11
nilayam,7
appajappa,9
layout,6
shampura,8
pratap,6
nagar,5
cblock,6
wingc,5
atlantis,8
skylinecity,11
apartment,9
nagarbhavi,10
stage,5
jeevan,6
shanti,6
colony,6
colony,6
belly,5
ground,6
floor,5
devika,6
paradise,8
building,8
vasavi,6
towers,6
safdarjung,10
enclave,7
jasmine,7
tower,5
runwal,6
bkiss,5
building,8
first,5
floor,5
kripa,5
nilaya,6
exotica,7
dreamville,10
sector,6
karanjade,9
panvel,6
block,5
ocean,5
breeze,6
apartments,10
kazhipattur,11
mapsko,6
paradise,8
sector,6
gurgaon,7
superb,6
sector,6
whispering,10
palms,5
kanakia,7
rainforest,10
chamundi,8
nagar,5
hosapalya,9
opposite,8
gupta,5
store,5
cross,5
byraveshwara,12
layout,6
hennur,6
bande,5
hennur,6
aaheli,6
apartments,10
cross,5
kalappa,7
layout,6
sawlaram,8
operative,9
society,7
gurudwara,9
kalyan,6
janakpuri,9
delhi,5
villa,5
heights,7
street,6
lakshmipuram,12
extension,9
colony,6
street,6
block,5
sargodha,8
apartments,10
dwarka,6
corner,6
house,5
suncity,7
apartments,10
vaibhava,8
apartment,9
fusion,6
homes,5
paradise,8
mangala,7
kondapur,8
silver,6
spring,6
apartment,9
green,5
layout,6
bellandur,9
tirumala,8
habitats,8
balrajeshwar,12
vishram,7
tower,5
sector,6
suren,5
chakala,7
andheri,7
press,5
building,8
floor,5
lakshmi,7
venkateshwara,13
agara,5
village,7
sector,6
layout,6
floor,5
pavani,6
oasis,5
regency,7
khannum,7
manzil,6
floor,5
fatima,6
manzil,6
sector,6
mehtas,6
anandan,7
mumbai,6
nanjarasappa,12
layout,6
sandeep,7
vihar,5
jankipuri,9
sector,6
balaji,6
shriji,6
apartment,9
